"Initiatives de médiation en science du logiciel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Détails de la soumission","","","","","","","","","","","Vous avez mis en place ou vous mettriez en place des actions de médiations (échelle de 0/non à 4/oui je suis extrement favorable) pour:","","","","","","","","Quelles sont les difficultés que vous avez rencontrées ou que vous pressentez ?","","","","Quelles sont les grandes thématiques GPL sur lesquelles il vous semble essentiel de communiquer ?","","","","","","","","","","","","Quels supports vous semblent les plus adaptés ?","","","","","","","","Quels verrous identifiez-vous dans votre communication relativement à vos recherches ?","","","","","","",""
"Séquentiel","SID","Heure de soumission","Heure de complétion","Heure de modification","Brouillon","Adresse IP","UID","Nom d'utilisateur","Avez-vous déjà participé à de la médiation dans le contexte Génie de la Programmation et du Logiciel (GPL) ? Si oui, accepteriez-vous de nous en dire un peu plus? (lien/support, cible/audience, etc)","Quelles sont les ressources ou initiatives (possiblement internationales) de médiation dans le contexte “GPL” dont vous avez connaissance ? Une description informelle et/ou un lien sont les bienvenues.","Expliquer au grand public vos recherches","Montrer les enjeux sociétaux de vos recherches au grand public","Faire connaitre vos recherches dans un contexte industriel","Faire connaître vos recherches à d’autres scientifiques","Faire connaître vos recherches aux étudiants (après bacs)","Faire connaître vos recherches aux plus jeunes","Autre (précisez dans le champ libre)","Autre (champ libre pour préciser si nécessaire les actions de médiation)","Problème de temps","Problème de communication","Sujet trop technique ou inadapté en l’état à une médiation","Crainte de trop vulgariser et de trop simplifier la science","L’informatique est une science","Développer n’est pas coder","Vérifier n’est pas tester","Tester, oui mais quoi ?","Des exigences au système en production","Un ordinateur n’est jamais “intelligent”","Maitriser vos ordinateurs","Les variants logiciels: une richesse, mais aussi un casse-tête","Non, le calcul sur ordinateur n’est pas “vert”","Un logiciel qui se dégrade, ça veut dire quoi?","Autres","Autre (champ libre pour préciser si nécessaire les thématiques du GPL)","vidéo 1’","vidéo 3’","poster","site web interactif","articles dans des journaux ou magasines","des jeux","autres","Autre (champ libre pour préciser si nécessaire les supports)","incompréhension des collègues d’autres domaines","absence de public","difficulté à attirer des étudiants","difficulté de l’inclusion","le public croit savoir","A priori, le logiciel est invisible (sauf quand il échoue), ne se touche pas, ne s'entend pas... comment faites-vous pour expliquer le logiciel, ses enjeux et ses problématiques ?","Y a-t-il des initiatives, hors informatique (astrophysique, chimie, histoire, philosophie, etc.), que vous aimeriez voir transposer au GPL?","Des idées/commentaires sur la dissémination"
"2","12262409","25/05/2022 - 18:12","25/05/2022 - 18:12","25/05/2022 - 18:12","0","0.0.0.0","0","Anonymous","Non","Aucune","2","1","3","4/oui","4/oui","3","0/non","","X","X","X","","X","X","","","","X","","","","","","","X","X","","X","X","","","","X","X","X","","","Quelques lignes de code dans une fusée, c'est rien, ça ne pèse rien, ça ne coute donc pas cher --> crash d'Ariane pour quelques lignes de code qui ne servaient de plus pas à la mission !","",""
"3","12262621","25/05/2022 - 18:28","25/05/2022 - 18:28","25/05/2022 - 18:28","0","0.0.0.0","0","Anonymous","J'ai participé au festival pint of science, à Rennes, en 2016. C'était une discussion, dans un bar, sur le thème du browser fingerprinting et vie privée","","4/oui","","4/oui","","4/oui","4/oui","","","","","","X","","","","","","","","","","","","le logiciel c'est beaucoup de métiers et beaucoup de gens qui travaillent ensemble

le logiciel, ça change tout le temps","","","","","X","","X","interventions dans les écoles et dans l'espace public (installations, chasse au trésor, hackathon, etc.)","","","","X","","l'art et la discussion","résidences d'artistes dans les labos
ateliers avec des journalistes",""
"4","12269718","27/05/2022 - 00:04","27/05/2022 - 00:04","27/05/2022 - 00:04","0","0.0.0.0","0","Anonymous","Pas encore.","Plus tard.","4/oui","2","3","4/oui","4/oui","4/oui","4/oui","Plus tard.","X","X","X","X","","X","X","X","X","X","X","X","","","X","Plus tard.","X","X","","X","X","","X","Plus tard.","X","","","","X","Plus tard.","À voir.","Plus tard."
"5","12271548","27/05/2022 - 10:46","27/05/2022 - 10:46","27/05/2022 - 10:46","0","0.0.0.0","0","Anonymous","Le besoin est apparu clairement dans un institut de recherche pluridisciplinaire afin de mettre en évidence des problématiques propres au domaine GPL, pour éviter la perception ""service"" des autres départements disciplinaires.  ","","3","3","2","3","4/oui","1","","","X","X","X","X","X","X","X","X","","","","X","X","","","","","X","","X","X","","","","X","","","","X","par des applications qui touchent le quotidien ","séminaires philosophie des maths seraient transposables au GPL ","reste à trouver comment toucher/impliquer plus de filles/femmes"
"6","12271870","27/05/2022 - 11:29","27/05/2022 - 11:29","27/05/2022 - 11:29","0","0.0.0.0","0","Anonymous","* Présentation du métier de chercheurs en informatique : 3 interventions dans des lycées de région parisienne

* Séminaire de vulgarisation scientifique tout public :
- BetaMachine, Chartres, 2015 : ""sûreté et sécurité des logiciels critiques : quel pilote vaut-il mieux avoir dans l'avion ?""
- Nuits des Sciences et des Lettres, ENS Paris, 2016 : ""Quand une machine arrive à comprendre une machine : l'analyse formelle de code""
- Cité des Sciences, La Villette, 2020 : ""Quelle confiance peut-on avoir dans un logiciel ?""

* Séminaire de semi-vulgarisation (public : jeunes étudiants)
- Atrium des Métiers, Sorbonne Université, 2020, ""Méthodes formelles et cybersécurité""
- Forum École Polytechnique, 2020, ""Méthodes formelles pour la sûreté et la sécurité des logiciels""

* Nombreuses présentations sur les méthodes formelles et/ou la cybersécurité pour des industriels (publics : ingénieurs et/ou low-level/high-level managers)","","4/oui","4/oui","4/oui","4/oui","4/oui","4/oui","","","X","","","","X","X","X","X","X","X","","","","","","- Quelle confiance peut-on avoir dans les logiciels ?","","","","","X","","X","Séminaire de vulgarisation grand public","","","","","","prendre des exemples concrets parlant au plus grand nombre (avions, centrales nucléaires, cartes à puce, logiciels en milieu hospitalier, etc)","",""
"7","12281344","29/05/2022 - 11:15","29/05/2022 - 11:15","29/05/2022 - 11:15","0","0.0.0.0","0","Anonymous","non, pas vraiment 
mais j'ai beaucoup réfléchi (il y a très longtemps) à la communication d'une école d'ingénieurs","","0/non","0/non","2","1","2","1","","","X","","","","X","X","","","X","X","","X","X","","X","L'informatique est une sciences où les femmes peuvent apporter un regard différent et très important
ou 
Non, l'informatique ne se résume (surtout) pas à développer des jeux sur ordinateur
ou
Être informaticien ce n'est pas rester toute la journée devant un ordinateur ! ","X","X","","X","","","","communication lors de salons d'orientation ?","X","","","","","mais le logiciel est utilisé partout ! dans nos smartphones par ex, ce sont des exemples simples et bien compris de logiciels","",""
"8","12285725","29/05/2022 - 23:00","29/05/2022 - 23:00","29/05/2022 - 23:00","0","0.0.0.0","0","Anonymous","","","3","3","4/oui","3","3","3","","","X","","","X","X","X","","","","","","X","X","X","","","","X","","","X","","","","X","","","","X","Utilisation de métaphores
Parallèle avec le génie civil pour montrer les différences
Parallèle avec la production industrielle pour montrer ce qui est commun, puis différent","","Peut être arriver à faire une chaine youtube (vidéo de courte durée) de vulgarisation sur le thème ""développer n'est pas coder"" en tournant le titre de manière plus positive, ou avec des playlists sur les thématiques à mettre en avant qui ressortiront du sondage."
"9","12295565","30/05/2022 - 15:06","30/05/2022 - 15:06","30/05/2022 - 15:06","0","0.0.0.0","0","Anonymous","Oui, pour le laboratoire. Une video de 5 minutes sur le département génie logiciel du labo.
La vidéo devrait être disponible d'ici le 9 juin...","À part la chaîne youtube de Diverse ? Aucune :-(","1","3","4/oui","2","3","4/oui","","","X","","","","X","X","","","X","","","","","","","Les filles ont toute leur place en GL","X","","","","X","","","""GL camps"" dans les lycée (2nd)","","","X","","X","Je fais des analogies avec des domaines connus (comme l'architecture pour les bâtiments, ou le schéma électrique d'un électronicien).","Un livre de citations (à la Dilbert ;-)","Impliquer un max les jeunes (et leur langage) pour parler à d'autres jeunes ;-)"
"10","12297088","30/05/2022 - 16:11","30/05/2022 - 16:11","30/05/2022 - 16:11","0","0.0.0.0","0","Anonymous","no","pas de connaissances","4/oui","4/oui","4/oui","4/oui","3","3","","faire connaître les resultats de nos recherches aux institutions publiques  qui nous financent
faire connaitre no recherches aux porteurs de projets et pôles de competitivité ","","","X","","","X","","X","","X","","","X","","","","X","X","","","","","X","articles de blog 
post usr les réseaux sociaux","X","","","X","","dessins, presentations, schema ","","atelier et miniconference pour informer sur des themes precis "
"11","12353781","02/06/2022 - 18:45","02/06/2022 - 18:45","02/06/2022 - 18:45","0","0.0.0.0","0","Anonymous","","","2","1","4/oui","3","4/oui","1","","","X","X","X","","X","X","X","X","X","X","","","","","","","","X","","X","X","","X","webinar, table ronde, conférences (journée spéciales, lycées, collèges...)","","X","X","","","","",""
"12","12356264","02/06/2022 - 22:03","02/06/2022 - 22:03","02/06/2022 - 22:03","0","0.0.0.0","0","Anonymous","non","","2","2","3","3","3","3","","","X","X","X","","X","X","","X","","X","","","X","","","","","","","","","","","","","X","","","X","","",""
"13","12358089","03/06/2022 - 08:37","03/06/2022 - 08:37","03/06/2022 - 08:37","0","0.0.0.0","0","Anonymous","- Participation à un cycle de journées de travail avec des industriels pendant plusieurs années pour vulgariser/communiquer/créer une dynamique autour d'un nouveau langage de modélisation.
- Vulgarisation auprès d'industriels pour chercher des financement
- Participation plusieurs année à la Fête de la Sciences
- Intervention annuelle dans un collège auprès des classes de 4e sur le sujet de la robotique (avec pour objectif de passer des messages : les sciences, c'est amusant. Ce n'est pas que pour les garçons, les filles y réussissent très bien. ","Les journées de groupes de travaux dédiés aux industriels","1","0/non","4/oui","1","4/oui","4/oui","","","X","X","","","X","X","","","","X","X","","","","","","","","","","X","","X","séminaires dédiés, intervention auprès du public cible, fête de la Sciences.","X","","X","","X","Utilisation de RETEX et de retours d'expérience. Les exemples de la ""vraie"" vie!","","Toujours le même problème. Préparer des interventions de ce type est couteux en temps et en énergie. Pour quelle valorisation dans nos dossiers et notre carrière? Aucune, au mieux 1 ligne dans le CV que personne ne regarde. Il ne faut pas se mentir, ce genre d'intervention c'est du bénévolat pris sur le peu de temps qu'il reste pour la recherche. "
"14","12359036","03/06/2022 - 09:30","03/06/2022 - 09:30","03/06/2022 - 09:30","0","0.0.0.0","0","Anonymous","non","- Il y avait informatique débranchée, mais ce n'est pas vraiment nos résultats de recherche.
- https://theconversation.com/fr
- linux Mag","3","3","4/oui","3","3","2","","","X","","","","","","","","","X","","","","X","","","","X","","","X","X","","","","","X","","","","",""
"15","12360622","03/06/2022 - 10:45","03/06/2022 - 10:45","03/06/2022 - 10:45","0","0.0.0.0","0","Anonymous","","","1","1","4/oui","3","3","2","","","X","X","X","","X","X","X","X","","X","","X","","X","","L'évolution constante du logiciel, la rendre perceptible,
la quantité de logiciel dans notre vie quotidienne  ","X","X","","","","X","","","X","","X","","","","",""
"16","12360921","03/06/2022 - 11:00","03/06/2022 - 11:00","03/06/2022 - 11:00","0","0.0.0.0","0","Anonymous","Exposé à un forum en extérieur
Atelier type fête de la science (demi-classes sur 20' environ)
Présentation d'un code informatique simple (en lien avec l'astronomie, sujet du forum)
Code vidéoprojeté modifié en séance","CS unplugged","4/oui","1","0/non","0/non","3","4/oui","","","","","X","","X","","","","","X","","","","","","qu'est-ce qu'un programme ?
qu'est-ce qu'un programme peut ou ne peut pas faire ?","","","","","","X","X","exposé type fête de la science (avec un vrai chercheur qu'on voit et qu'on peut interroger)","","","","","","Facile ! Par les bugs et les impacts.
Mais ramener ça aux gens qui programmes est utile","Maths en Jeans ?","Mieux reconnaître l'implication dans la dissémination dans les diverses et nombreuses évaluations"
"17","12361074","03/06/2022 - 11:08","03/06/2022 - 11:08","03/06/2022 - 11:08","0","0.0.0.0","0","Anonymous","Oui, contribution à un ouvrage destiné aux enseignants de l'enseignement primaire/fondamental (sorry pour les Belgicismes éventuels...).
Voir table des matières: https://politeia.be/fr/publications/286299-eduquer+au+numerique+12+cles+pour+comprendre+linformatique

Atelier de vulgarisation dans Le printemps de sciences (une semaine en FWB consacrée à des activités de médiation scientifique).","","2","4/oui","4/oui","4/oui","4/oui","4/oui","","","X","X","","X","X","X","","","X","X","","X","X","X","X","Biais en IA, risques et opportunités de l'IA
Initiation à la pensée informatique (c'est selon moi un socle pour attaquer la fracture numérique)
","X","X","","X","X","X","X","Intervention dans les médias.
Une diffusion subliminale des compétences par des séries ou films (cf. Unité 42 produit par la RTBF, cellule informatique de la police qui aborde la sécurité et la criminalité informatique de manière crédible). Il y a une une courte série française très bien faite aussi sur le campus de Lille (j'ai oublié le titre).
La sécurité comme intrigue peut servir d'étrier à tous les autres aspects du GPL, et diffuser une culture générale de la discipline de manière ludique.
","X","X","X","X","X","Partir de situations concrètes, utiliser des exemples de la vie quotidienne, une mise en situation, jeux de rôle, ... sans recourir nécessairement à des artefacts logiciels. Le lien se fait plus tard. Exemple:
Comment ranger efficacement un entrepôt ?
Comment sécuriser les billets d'entrée du stade de France :-)
Comment tester le helpdesk du ministère des finances ?
Vous détestez telle appli, que feriez-vous pour l'améliorer ?
Vous avez 1000 étudiants sous la main, vous voulez augmenter vos chances de gagner à un jeu de questions réponses par SMS. Quelle stratégie pour répartir la charge ?
Je suis un fan de l'approche CS unplugged... ;-)","J'ai plutôt envie de citer des initiatives malheureuses en informatique, trop ancrée sur le ""codage"", sur des formations ""alimentaires"", ... qui donne une image de geek à la discipline.
Des cartes blanches dans la presse.
Une meilleure visibilité dans la presse scientifique (Pour la science, Science & vie, etc)","Adapter la communication aux objectifs et publics cibles.
Inutile de disséminer si l'on n'a pas une stratégie pour toucher les gens (un poster dans un hall vide, une vidéo youtube avec 20 vues, etc).
Dans le public cible, ne pas oublier les politiques... Pour avoir organisé une conférence en BE avec des politiques, je vous assure qu'ils confondent informatique/software engineering/computer science avec la maîtrise des outils bureautique et la maîtrise des outils bureautiques. Dans le meilleur des cas, ils sont obnubilés par les buzzwords du moment comme l'IA ou le quantique. Demain, ce sera metaverse...

"
"18","12372657","04/06/2022 - 10:52","04/06/2022 - 10:52","04/06/2022 - 10:52","0","0.0.0.0","0","Anonymous","Non","Twitter","4/oui","4/oui","4/oui","4/oui","4/oui","0/non","0/non","","X","","","","","X","X","X","X","","","X","X","X","","","X","X","","","","","X","blog","","","","","","","",""
"19","12377494","05/06/2022 - 12:09","05/06/2022 - 12:09","05/06/2022 - 12:09","0","0.0.0.0","0","Anonymous","Articles revue grand public REE","À part les ouvrages, articles, sites généraux, je n’ai pas d’idées originales. Je n’ai pas participé à des actions grand public style « enseignement secondaire ». ","1","1","3","4/oui","1","1","0/non","","X","X","X","X","X","X","X","","X","X","","","X","","","","","X","","X","X","","","","X","X","X","X","","Les limitations théoriques sont déjà inconnues. Les gens pensent souvent que les logiciels sont erronés par négligence, sans savoir que les principales propriétés souhaitées sur un logiciel sont indécidables. ","
La perspective historique semble intéressante. Associer les avancées à leurs auteurs est souvent un moyen de contextualiser et intéresser. ","L’un des pb majeurs est toujours que ces actions sont à la fois très difficiles et absolument pas reconnues par nos instances (pour l’HCERES, pour les dossiers, etc.). "
"20","12407054","08/06/2022 - 00:23","08/06/2022 - 00:23","08/06/2022 - 00:23","0","0.0.0.0","0","Anonymous","Non.","* CS unplugged (https://www.csunplugged.org/en/) pas précisément GPL mais adaptable
* The Architecture of Open Source Applications (https://aosabook.org/en/index.html)
* Comprendre l'informatique en jouant … avec Marie Duflot (https://members.loria.fr/MDuflot/files/mediation.html • https://www.youtube.com/playlist?list=PLWvGMqXvyJAPSMFgCiy6qVHW9bAPu93X5)
* Catalyst initiative : promotion du _hacking_ de logiciels libres auprès des jeunes (https://www.catalyst.net.nz/academy)
* XKCD (https://xkcd.com/)
* Code project (https://www.codeproject.com/)
* Interstices : revue (https://interstices.info/domaine/languages-programmation-logiciel/)","2","1","1","2","2","1","0/non","","X","","","","","X","","X","","X","X","X","X","X","X","Pouvoir des vieux langages ou langages ésotériques dans la résolution de problèmes spacifiques.","X","X","","","X","","","","","","","","X","Vulgariser simplement quelques fonctionnement internes non-triviaux afin de montrer que la partie invisible dépasse tout entendement en terme de conception de logiciels complexes.","Le Myriogon (https://www.youtube.com/c/LeMyriogon) par exemple (plutôt Mathématiques).","Colloquiums réguliers par des chercheurs de renom sur Logiciel (exemple https://www.lip6.fr/colloquium/) ou recherche émergente. Ça peut être des reflexions philosophiques, esthétique, de nouvelles lignes de recherche, des retours d'expérience, etc."
